time,ShortWave,Cloud,AirTemp,RelHum,Wind,Rain
2016-06-25 06:00:00,75.00800323,1,15.05001221,96.24748695,1.454166475,0
2016-06-25 07:00:00,224.776001,1,15.67000732,94.35234929,1.010197991,0.0010176
2016-06-25 08:00:00,361.8720093,1,17.12999878,92.1454024,0.953414913,0.0000192
2016-06-25 09:00:00,500.3529968,1,18.58999023,89.66660878,1.09041278,0
2016-06-25 10:00:00,708.7689819,1,20.05001221,86.99383456,1.35517528,0
2016-06-25 11:00:00,818.3140259,1,21.60003052,80.98324925,1.116467658,0
2016-06-25 12:00:00,852.1430054,1,23.14998779,75.42877707,1.293213048,0
2016-06-25 13:00:00,540.2940063,1,24.7000061,70.29277856,1.761391472,0
2016-06-25 14:00:00,515.1970825,1,24.50002441,70.37606765,1.435339709,0.00048
2016-06-25 15:00:00,439.6289978,1,24.30001221,70.45505487,1.164001717,0.450547211
2016-06-25 16:00:00,372.5539856,1,24.08999023,70.56659208,0.983717434,0.0015168
2016-06-25 17:00:00,254.897995,1,23.27999268,75.59669969,1.152475591,0
2016-06-25 18:00:00,140.7920074,1,22.46999512,80.97941734,1.800694312,0
2016-06-25 19:00:00,13.3920002,1,21.65999756,86.73738064,2.590482508,0
2016-06-25 20:00:00,0,1,20.54000244,88.01448466,2.715032253,0
2016-06-25 21:00:00,0,1,19.42003784,89.07844156,2.844310063,0.0001728
2016-06-25 22:00:00,0,1,18.30001221,89.88470313,2.969528682,0.0004032
2016-06-25 23:00:00,0,1,17.92998657,91.89841202,2.970067438,0.0007968
2016-06-26 00:00:00,0,1,17.55001221,94.02314301,2.962498841,0.000048
2016-06-26 01:00:00,0,1,17.17003784,96.19950299,2.964456058,0
2016-06-26 02:00:00,0,1,16.83001099,97.04484661,2.549117462,0.0001152
2016-06-26 03:00:00,0,1,16.48000488,97.95140891,2.139275597,0
2016-06-26 04:00:00,0,1,16.12999878,98.85270203,1.749999952,0
2016-06-26 05:00:00,0,1,16.79000244,96.82336221,1.870026913,0
2016-06-26 06:00:00,85.12799835,1,17.4500061,94.81564241,1.984061442,0
2016-06-26 07:00:00,261.4240112,1,18.11000977,92.82593898,2.106466179,0
2016-06-26 08:00:00,419.552002,1,19.67000732,90.17175992,1.696643701,0
2016-06-26 09:00:00,579.3309937,1,21.21999512,87.35489895,1.40858081,0
2016-06-26 10:00:00,729.7540283,1,22.78005371,84.3365342,1.315902784,0
2016-06-26 11:00:00,842.2449951,1,23.83001099,79.81892617,1.598780728,0
2016-06-26 12:00:00,876.9329834,1,24.87999878,75.57530613,1.925850419,0
2016-06-26 13:00:00,644.21698,1,25.92998657,71.58692506,2.280350822,0
2016-06-26 14:00:00,614.4390259,1,25.61000977,73.97668239,2.780647378,0.0000192
2016-06-26 15:00:00,524.5440063,1,25.30001221,76.38904901,3.280975436,0.249696007
2016-06-26 16:00:00,408.2730103,1,24.99001465,78.87018604,3.791318994,0.064348801
2016-06-26 17:00:00,279.8429871,1,24.33001099,81.49647276,3.433729817,0.0001056
2016-06-26 18:00:00,155.3619995,1,23.67998657,84.17262517,3.108504386,0.000144
2016-06-26 19:00:00,15.26399994,1,23.02004395,86.99911661,2.815848025,0.0000288
2016-06-26 20:00:00,0,1,21.90999756,89.13496288,3.023243199,0
2016-06-26 21:00:00,0,1,20.80001221,91.19342437,3.252460604,0.0008256
2016-06-26 22:00:00,0,1,19.69002686,93.14385619,3.492749555,0.0011424
2016-06-26 23:00:00,0,1,19.64998779,94.36776777,3.26165601,0.0000192
2016-06-27 00:00:00,0,1,19.62005005,95.53920256,3.042170392,0.0001536
2016-06-27 01:00:00,0,1,19.58001099,96.77318971,2.854645318,0
2016-06-27 02:00:00,0,1,19.49004517,97.25597796,2.750490874,0
2016-06-27 03:00:00,0,1,19.39998779,97.74491826,2.727343058,0
