time,FLOW,TEMP,SALT,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OXY_oxy
2015-09-12,0.014133333,14.33,0,49.17643332,0.384792627,0.770330735,196.2650172,312.4080357
2015-09-13,0.014133333,14.35,0,50.58599937,0.361751152,0.724203146,193.8860473,313.7040179
2015-09-14,0.014133333,14.37,0,51.99556541,0.338709677,0.678075557,191.5070774,315
2015-09-15,0.014133333,13.2365,0,50.82356668,0.331797235,0.66423728,315.2135125,237.0021875
2015-09-16,0.014133333,12.103,0,49.65156794,0.324884793,0.650399004,438.9199477,159.004375
2015-09-17,0.014133333,10.9695,0,48.47956921,0.31797235,0.636560727,562.6263828,81.0065625
2015-09-18,0.014133333,9.836,0,47.30757048,0.311059908,0.62272245,686.3328179,3.00875
2015-09-19,0.014133333,11.40066667,0,46.13557175,0.304147465,0.608884174,810.039253,106.2253125
2015-09-20,0.014133333,12.96533333,0,44.96357301,0.297235023,0.595045897,933.7456881,209.441875
2015-09-21,0.014133333,14.53,0,43.79157428,0.290322581,0.58120762,1057.452123,312.6584375
2015-09-22,0.014133333,14.55428571,0,46.95913842,0.31797235,0.636560727,1049.4231,311.1898214
2015-09-23,0.014133333,14.57857143,0,50.12670257,0.34562212,0.691913834,1041.394076,309.7212054
2015-09-24,0.014133333,14.60285714,0,53.29426671,0.373271889,0.74726694,1033.365053,308.2525893
2015-09-25,0.014133333,14.62714286,0,56.46183085,0.400921659,0.802620047,1025.336029,306.7839732
2015-09-26,0.014133333,14.65142857,0,59.629395,0.428571429,0.857973154,1017.307006,305.3153571
2015-09-27,0.014133333,14.67571429,0,62.79695914,0.456221198,0.91332626,1009.277983,303.8467411
2015-09-28,0.014133333,14.7,0,65.96452328,0.483870968,0.968679367,1001.248959,302.378125
2015-09-29,0.014133333,13.75475,0,56.802344,0.433179724,0.867198672,993.2199358,227.9351563
2015-09-30,0.014133333,12.8095,0,47.64016471,0.382488479,0.765717976,985.1909123,153.4921875
2015-10-01,0.014133333,11.86425,0,38.47798543,0.331797235,0.66423728,977.1618889,79.04921875
2015-10-02,0.014133333,10.919,0,29.31580615,0.281105991,0.562756585,969.1328655,4.60625
2015-10-03,0.014133333,12.69266667,0,20.15362686,0.230414747,0.461275889,961.103842,66.1125
2015-10-04,0.014133333,14.46633333,0,10.99144758,0.179723502,0.359795194,953.0748186,127.61875
2015-10-05,0.014133333,16.24,0,1.829268293,0.129032258,0.258314498,945.0457952,189.125
2015-10-06,0.014133333,16.10142857,0,1.734241368,0.122119816,0.244476221,937.0167717,191.9129464
2015-10-07,0.014133333,15.96285714,0,1.639214444,0.115207373,0.230637945,928.9877483,194.7008929
2015-10-08,0.014133333,15.82428571,0,1.54418752,0.108294931,0.216799668,920.9587249,197.4888393
2015-10-09,0.014133333,15.68571429,0,1.449160596,0.101382488,0.202961391,912.9297014,200.2767857
2015-10-10,0.014133333,15.54714286,0,1.354133671,0.094470046,0.189123115,904.900678,203.0647321
2015-10-11,0.014133333,15.40857143,0,1.259106747,0.087557604,0.175284838,896.8716546,205.8526786
2015-10-12,0.014133333,15.27,0,1.164079823,0.080645161,0.161446561,888.8426311,208.640625
2015-10-13,0.014133333,15.13142857,0,1.069052898,0.073732719,0.147608285,880.8136077,211.4285714
2015-10-14,0.014133333,14.99285714,0,0.974025974,0.066820276,0.133770008,872.7845843,214.2165179
2015-10-15,0.014133333,14.85428571,0,0.87899905,0.059907834,0.119931731,864.7555608,217.0044643
2015-10-16,0.014133333,14.71571429,0,0.783972125,0.052995392,0.106093454,856.7265374,219.7924107
2015-10-17,0.014133333,14.57714286,0,0.688945201,0.046082949,0.092255178,848.697514,222.5803571
2015-10-18,0.014133333,14.43857143,0,0.593918277,0.039170507,0.078416901,840.6684905,225.3683036
2015-10-19,0.014133333,14.3,0,0.498891353,0.032258065,0.064578624,832.6394671,228.15625
2015-10-20,0.014133333,13.9895,0,0.483053532,0.032066052,0.064194228,824.6104437,195.4515625
2015-10-21,0,13.679,0,0.467215711,0.03187404,0.063809831,816.5814202,162.746875
2015-10-22,0.014133333,13.3685,0,0.45137789,0.031682028,0.063425435,808.5523968,130.0421875
2015-10-23,0.014133333,13.058,0,0.43554007,0.031490015,0.063041038,800.5233734,97.3375
2015-10-24,0.014133333,13.93393333,0,0.419702249,0.031298003,0.062656642,792.4943499,242.7083333
2015-10-25,0.014133333,13.78786667,0,0.403864428,0.031105991,0.062272245,784.4653265,244.3229167
2015-10-26,0.014133333,13.6418,0,0.388026608,0.030913978,0.061887848,776.4363031,245.9375
2015-10-27,0.014133333,13.49573333,0,0.372188787,0.030721966,0.061503452,768.4072796,247.5520833
2015-10-28,0.014133333,13.34966667,0,0.356350966,0.030529954,0.061119055,760.3782562,249.1666667
2015-10-29,0.014133333,13.2036,0,0.340513145,0.030337942,0.060734659,752.3492328,250.78125
2015-10-30,0.014133333,13.05753333,0,0.324675325,0.030145929,0.060350262,744.3202093,252.3958333
2015-10-31,0.014133333,12.91146667,0,0.308837504,0.029953917,0.059965866,736.2911859,254.0104167
2015-11-01,0.014133333,12.7654,0,0.292999683,0.029761905,0.059581469,728.2621625,255.625
2015-11-02,0.014133333,12.61933333,0,0.277161863,0.029569892,0.059197072,720.2331391,257.2395833
2015-11-03,0.014133333,12.47326667,0,0.261324042,0.02937788,0.058812676,712.2041156,258.8541667
2015-11-04,0.014133333,12.3272,0,0.245486221,0.029185868,0.058428279,704.1750922,260.46875
2015-11-05,0.014133333,12.18113333,0,0.2296484,0.028993856,0.058043883,696.1460688,262.0833333
2015-11-06,0.014133333,12.03506667,0,0.21381058,0.028801843,0.057659486,688.1170453,263.6979167
2015-11-07,0.014133333,11.889,0,0.197972759,0.028609831,0.05727509,680.0880219,265.3125
2015-11-08,0.014133333,11.74293333,0,0.182134938,0.028417819,0.056890693,672.0589985,266.9270833
2015-11-09,0.014133333,11.59686667,0,0.166297118,0.028225806,0.056506296,664.029975,268.5416667
2015-11-10,0.014133333,11.4508,0,0.166297118,0.028033794,0.0561219,656.0009516,270.15625
2015-11-11,0.014133333,11.30473333,0,0.166297118,0.027841782,0.055737503,647.9719282,271.7708333
2015-11-12,0.014133333,11.15866667,0,0.166297118,0.02764977,0.055353107,639.9429047,273.3854167
2015-11-13,0.014133333,11.0126,0,0.166297118,0.027457757,0.05496871,631.9138813,275
2015-11-14,0.014133333,10.86653333,0,0.166297118,0.027265745,0.054584314,623.8848579,276.6145833
2015-11-15,0.014133333,10.72046667,0,0.166297118,0.027073733,0.054199917,615.8558344,278.2291667
2015-11-16,0.014133333,10.5744,0,0.166297118,0.02688172,0.05381552,607.826811,279.84375
2015-11-17,0.014133333,10.42833333,0,0.166297118,0.026689708,0.053431124,599.7977876,281.4583333
2015-11-18,0.014133333,10.28226667,0,0.166297118,0.026497696,0.053046727,591.7687641,283.0729167
2015-11-19,0.014133333,10.1362,0,0.166297118,0.026305684,0.052662331,583.7397407,284.6875
2015-11-20,0.014133333,9.990133333,0,0.166297118,0.026113671,0.052277934,575.7107173,286.3020833
2015-11-21,0,9.844066667,0,0.166297118,0.025921659,0.051893538,567.6816938,287.9166667
2015-11-22,0,9.698,0,0.166297118,0.025729647,0.051509141,559.6526704,289.53125
2015-11-23,0,9.551933333,0,0.166297118,0.025537634,0.051124744,551.623647,291.1458333
2015-11-24,0,9.405866667,0,0.166297118,0.025345622,0.050740348,543.5946235,292.7604167
2015-11-25,0,9.2598,0,0.166297118,0.02515361,0.050355951,535.5656001,294.375
2015-11-26,0,9.113733333,0,0.166297118,0.024961598,0.049971555,527.5365767,295.9895833
2015-11-27,0,8.967666667,0,0.166297118,0.024769585,0.049587158,519.5075532,297.6041667
2015-11-28,0,8.8216,0,0.166297118,0.024577573,0.049202762,511.4785298,299.21875
2015-11-29,0,8.675533333,0,0.166297118,0.024385561,0.048818365,503.4495064,300.8333333
2015-11-30,0,8.529466667,0,0.166297118,0.024193548,0.048433968,495.4204829,302.4479167
2015-12-01,0,8.3834,0,0.166297118,0.024001536,0.048049572,487.3914595,304.0625
2015-12-02,0,8.237333333,0,0.166297118,0.023809524,0.047665175,479.3624361,305.6770833
2015-12-03,0,8.091266667,0,0.166297118,0.023617512,0.047280779,471.3334126,307.2916667
2015-12-04,0,7.9452,0,0.166297118,0.023425499,0.046896382,463.3043892,308.90625
2015-12-05,0,7.799133333,0,0.166297118,0.023233487,0.046511985,455.2753658,310.5208333
2015-12-06,0,7.653066667,0,0.166297118,0.023041475,0.046127589,447.2463423,312.1354167
2015-12-07,0,7.507,0,0.166297118,0.022849462,0.045743192,439.2173189,313.75
2015-12-08,0,7.521968153,0,0.163129553,0.02265745,0.045358796,431.1882955,314.2629379
2015-12-09,0,7.536936306,0,0.159961989,0.022465438,0.044974399,423.159272,314.7758758
2015-12-10,0,7.551904459,0,0.156794425,0.022273425,0.044590003,415.1302486,315.2888137
